1,37.4883,0,4,1.18124,46
2,39.6914,0,86,16,10029
3,39.6953,1.68939,134,16,20421
4,39.6953,0.72188,182,16,30816
5,39.6953,1.46571,220,17,40756
6,39.6953,1.47652,259,17,50197
7,39.8203,2.17016,285,17,60177
8,39.9453,2.81706,309,17,70872
9,40.0117,2.07279,342,17,80853
10,40.0117,4.30602,363,16,90039
11,40.0117,2.68013,375,16,100359
12,40.0156,4.91434,415,16,120913
13,40.0195,3.59563,450,17,130515
14,40.207,6.73622,461,17,140913
15,40.207,3.10519,483,16,150369
16,40.207,4.8319,504,17,160200
17,40.2109,5.3904,516,17,171747
18,40.3477,5.56393,534,16,180114
19,40.3477,5.12317,549,17,190479
20,40.3516,6.23675,563,16,200052
21,40.3516,6.60948,578,17,210105
22,40.3516,6.74233,600,16,220503
23,40.3516,10.5737,615,17,230646
24,40.3516,5.49652,631,16,241219
25,40.3594,11.7915,641,16,251139
26,40.3594,7.86899,658,16,261373
27,40.3594,4.35435,668,17,270873
28,40.3594,11.7247,676,17,280177
29,40.3594,7.31942,693,16,290184
30,40.3594,8.53029,710,17,300294
31,40.3594,8.22312,719,16,310236
32,40.3594,11.887,730,17,320611
33,40.3633,11.1984,746,16,330574
34,40.3711,8.05127,758,17,340677
35,40.4961,11.2871,785,17,360345
36,40.5352,4.10181,793,17,370642
37,40.5352,11.4449,801,17,380298
38,40.5352,11.5679,809,18,390363
39,40.5352,12.6734,824,16,400035
40,40.5547,12.374,842,16,410886
41,40.5547,12.6299,850,17,422035
42,40.5547,13.3939,864,17,432282
43,40.5547,12.9273,874,18,443020
44,40.5547,12.9341,877,18,450793
45,40.5547,12.9461,889,19,460117
46,40.5547,12.3684,903,19,470766
47,40.5547,11.8411,913,19,482116
48,40.5547,11.6713,923,19,491163
49,40.5547,12.1354,934,20,500689
50,40.5547,11.7907,941,20,512151
51,40.5547,12.2615,956,20,520182
52,40.5547,12.3364,967,21,530593
53,40.5547,12.6347,983,22,551040
54,40.5547,11.9032,990,23,561471
55,40.5547,12.2944,998,23,570048
56,40.5547,12.2124,1008,23,580722
57,40.5664,12.3595,1031,23,600939
58,40.582,11.9897,1040,24,610176
59,40.582,12.3099,1046,25,623382
60,40.707,13.1851,1049,26,630507
61,40.707,12.2189,1063,25,641026
62,40.707,13.0285,1073,26,653385
63,40.707,12.5021,1079,26,660675
64,40.707,12.47,1094,26,670305
65,40.707,12.1055,1105,26,680086
66,40.707,11.6226,1112,27,692139
67,40.707,13.8643,1117,28,700720
68,40.707,12.7933,1123,29,710170
69,40.707,12.4333,1133,28,721155
70,40.707,12.6163,1146,28,731067
71,40.707,12.4343,1153,29,741220
72,40.707,12.5465,1162,30,750844
73,40.707,12.0098,1168,29,760175
74,40.707,12.6397,1173,30,770073
75,40.707,12.6755,1183,31,781129
76,40.707,12.5592,1195,30,790090
77,40.7109,12.3699,1203,31,800319
78,40.7109,12.2352,1211,32,811422
79,40.7109,12.9903,1216,32,821776
80,40.7109,12.6595,1230,33,842499
81,40.7109,12.2165,1239,34,850884
82,40.7266,12.6857,1248,34,860214
83,40.7266,12.2427,1253,34,870912
84,40.7266,12.4969,1261,35,881938
85,40.7266,12.1024,1265,35,890716
86,40.7266,12.8181,1273,35,902872
87,40.7266,12.196,1280,35,912609
88,40.7266,12.5209,1288,36,920392
89,40.7266,12.4625,1296,36,930534
90,40.7266,12.4766,1306,37,941248
91,40.7266,12.9403,1311,38,951309
92,40.7266,12.236,1318,38,960535
93,40.7266,12.776,1325,37,971208
94,40.7266,12.4693,1328
